review_id,review_text
1,Product broke after one use.
2,Satisfactory but not impressive.
3,Excellent quality and fast delivery.
4,Completely useless item.
5,"Amazing product, I loved it!"
6,"Perfect, just as described."
7,Extremely dissatisfied with the purchase.
8,Service was horrible.
9,Would not recommend at all.
10,"Very poor quality, do not buy."
11,Excellent quality and fast delivery.
12,Service was horrible.
13,Service was acceptable.
14,Excellent quality and fast delivery.
15,"Product was fine, met my expectations."
16,Worst experience ever.
17,Great experience overall.
18,Neither good nor bad.
19,The product is just decent.
20,The product is just decent.
21,Neither good nor bad.
22,Not worth the money.
23,I would definitely buy again.
24,The product exceeded expectations.
25,The product is just decent.
26,Worst experience ever.
27,Would not recommend at all.
28,Worst experience ever.
29,"It's okay, nothing special."
30,Would not recommend at all.
31,Not worth the money.
32,"It's okay, nothing special."
33,"Amazing product, I loved it!"
34,Delivery took time but product is okay.
35,Delivery took time but product is okay.
36,"Product was fine, met my expectations."
37,Satisfactory but not impressive.
38,"Very satisfied, highly recommend."
39,Delivery took time but product is okay.
40,Satisfactory but not impressive.
41,"Average experience, could be better."
42,Worst experience ever.
43,"It's okay, nothing special."
44,Service was horrible.
45,Extremely dissatisfied with the purchase.
46,"It's okay, nothing special."
47,Extremely dissatisfied with the purchase.
48,Satisfactory but not impressive.
49,"Average experience, could be better."
50,The description was misleading.
51,Product broke after one use.
52,Not worth the money.
53,Completely useless item.
54,Absolutely fantastic purchase!
55,Service was horrible.
56,Satisfactory but not impressive.
57,Great experience overall.
58,The service was outstanding.
59,Completely useless item.
60,I would definitely buy again.
61,Excellent quality and fast delivery.
62,The description was misleading.
63,"Amazing product, I loved it!"
64,"Very poor quality, do not buy."
65,Great experience overall.
66,Neither good nor bad.
67,Service was horrible.
68,The product is just decent.
69,Completely useless item.
70,"Product was fine, met my expectations."
71,The service was outstanding.
72,Neither good nor bad.
73,"Not bad, not great either."
74,"It's okay, nothing special."
75,"It's okay, nothing special."
76,Extremely dissatisfied with the purchase.
77,The service was outstanding.
78,"Very satisfied, highly recommend."
79,"Amazing product, I loved it!"
80,The service was outstanding.
81,"Average experience, could be better."
82,High quality and worth the price.
83,The product is just decent.
84,Great experience overall.
85,"Very satisfied, highly recommend."
86,The product exceeded expectations.
87,Product broke after one use.
88,Delivery took time but product is okay.
89,"Very satisfied, highly recommend."
90,"Very satisfied, highly recommend."
91,Product broke after one use.
92,Service was horrible.
93,The product exceeded expectations.
94,The product is just decent.
95,Extremely dissatisfied with the purchase.
96,The service was outstanding.
97,Completely useless item.
98,Absolutely fantastic purchase!
99,Service was horrible.
100,Extremely dissatisfied with the purchase.
101,"Not bad, not great either."
102,Completely useless item.
103,Delivery took time but product is okay.
104,Completely useless item.
105,The product is just decent.
106,Worst experience ever.
107,Service was horrible.
108,Neither good nor bad.
109,I would definitely buy again.
110,Delivery took time but product is okay.
111,Product broke after one use.
112,"Product was fine, met my expectations."
113,"It's okay, nothing special."
114,"Not bad, not great either."
115,"Amazing product, I loved it!"
116,Worst experience ever.
117,"Average experience, could be better."
118,Excellent quality and fast delivery.
119,"Very poor quality, do not buy."
120,I would definitely buy again.
121,High quality and worth the price.
122,Mediocre experience overall.
123,Neither good nor bad.
124,Service was horrible.
125,Great experience overall.
126,"Terrible product, very disappointed."
127,Would not recommend at all.
128,I would definitely buy again.
129,Extremely dissatisfied with the purchase.
130,Great experience overall.
131,Great experience overall.
132,Satisfactory but not impressive.
133,Absolutely fantastic purchase!
134,Mediocre experience overall.
135,Worst experience ever.
136,"It's okay, nothing special."
137,I would definitely buy again.
138,The service was outstanding.
139,Completely useless item.
140,High quality and worth the price.
141,Delivery took time but product is okay.
142,Delivery took time but product is okay.
143,Excellent quality and fast delivery.
144,Excellent quality and fast delivery.
145,I would definitely buy again.
146,"Product was fine, met my expectations."
147,Mediocre experience overall.
148,"Very poor quality, do not buy."
149,Would not recommend at all.
150,"Not bad, not great either."
151,"Product was fine, met my expectations."
152,Delivery took time but product is okay.
153,Service was acceptable.
154,Not worth the money.
155,Great experience overall.
156,Absolutely fantastic purchase!
157,Absolutely fantastic purchase!
158,I would definitely buy again.
159,"Amazing product, I loved it!"
160,Worst experience ever.
161,Great experience overall.
162,"Perfect, just as described."
163,The product exceeded expectations.
164,"Perfect, just as described."
165,"Not bad, not great either."
166,High quality and worth the price.
167,The description was misleading.
168,Extremely dissatisfied with the purchase.
169,The product is just decent.
170,I would definitely buy again.
171,Service was horrible.
172,Great experience overall.
173,Great experience overall.
174,Mediocre experience overall.
175,Excellent quality and fast delivery.
176,"Product was fine, met my expectations."
177,Mediocre experience overall.
178,"Average experience, could be better."
179,Would not recommend at all.
180,"Average experience, could be better."
181,Great experience overall.
182,Product broke after one use.
183,Service was horrible.
184,I would definitely buy again.
185,"Amazing product, I loved it!"
186,Would not recommend at all.
187,Not worth the money.
188,Service was acceptable.
189,The product exceeded expectations.
190,Extremely dissatisfied with the purchase.
191,The service was outstanding.
192,The description was misleading.
193,Neither good nor bad.
194,Great experience overall.
195,"Average experience, could be better."
196,Service was horrible.
197,"Product was fine, met my expectations."
198,"It's okay, nothing special."
199,Delivery took time but product is okay.
200,"Very poor quality, do not buy."
